split,world_file,seed,difficulty,random_obstacle_count,boundary_wall_count,total_box_count,direct_path_blocked,astar_path_length_m,start_x,start_y,start_yaw,goal_x,goal_y,scenario,straight_distance_m,path_stretch_ratio,structured_blocker_count,source_dataset,source_split,source_repetition,training_weight,comparison_source
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100191.yaml,1100191,hard,20,4,24,False,5.9645,3.260402,-2.666608,1.358692,4.137356,2.91193,clear,5.647,1.0562,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100109.yaml,1100109,medium,16,4,20,True,6.2216,-1.446707,-1.477003,1.538973,-1.536052,3.466687,double_block,4.9445,1.2583,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300356.yaml,300356,hard,14,4,18,True,9.6947,1.899594,2.986804,-1.53034,1.999842,-2.88513,double_block,5.8728,1.6508,2,v4_focused,train,0,focused_failure,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_direct_block_seed_1100202.yaml,1100202,medium,16,4,20,True,6.9278,0.07256,-1.931818,1.021979,3.219018,2.774283,direct_block,5.6611,1.2238,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300397.yaml,300397,medium,8,4,12,True,7.7084,3.321509,2.785508,-2.258122,-0.360017,-2.438922,double_block,6.3913,1.2061,2,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100221.yaml,1100221,hard,19,4,23,True,9.8822,-3.708601,0.650226,-0.417785,3.804322,-2.75733,double_block,8.2496,1.1979,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000230.yaml,230,hard,9,4,13,True,4.9027,3.821227,3.351985,1.670746,0.322116,1.387379,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000193.yaml,193,medium,8,4,12,False,4.649,2.292012,4.103263,-1.720006,0.506214,0.226483,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000032.yaml,32,hard,4,4,8,True,4.8057,-4.043266,-3.922323,0.693556,-1.489877,-1.442101,direct_block,3.5597,1.35,,v3,train,0,0.15,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000142.yaml,142,medium,8,4,12,True,5.7004,-1.865897,-1.236594,-1.302312,2.549067,-4.013581,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100023.yaml,1100023,hard,18,4,22,False,5.3245,-3.011875,-3.075243,-0.281004,1.952413,-3.948376,clear,5.0405,1.0563,0,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000239.yaml,239,hard,8,4,12,True,5.921,1.832008,-0.72274,-0.576018,-0.555923,4.170043,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000054.yaml,54,easy,2,4,6,False,6.5027,-1.758046,3.391583,-1.067692,-0.108458,-2.444687,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100059.yaml,1100059,hard,20,4,24,False,5.609,0.231742,-2.429113,2.004137,-1.530562,2.451138,clear,5.1887,1.081,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100132.yaml,1100132,easy,15,4,19,True,5.9508,-0.30597,4.100822,-2.081681,-2.576156,-0.101416,double_block,4.7762,1.2459,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_clear_seed_1100139.yaml,1100139,medium,16,4,20,False,5.9976,-3.918955,1.535843,-0.078966,1.758683,0.607816,clear,5.753,1.0425,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100192.yaml,1100192,easy,14,4,18,True,6.7759,-2.414919,0.354462,0.030469,3.402178,1.32908,double_block,5.8982,1.1488,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100080.yaml,1100080,hard,18,4,22,True,7.5816,2.610065,-4.105313,2.183668,-0.349155,-0.540232,double_block,4.6332,1.6363,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100122.yaml,1100122,hard,19,4,23,True,5.8216,-3.99187,1.70895,-0.067334,0.987328,2.063512,direct_block,4.9918,1.1662,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100185.yaml,1100185,hard,19,4,23,True,8.3816,-1.71081,2.862984,-1.321351,0.913051,-3.829211,double_block,7.1882,1.166,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100205.yaml,1100205,medium,16,4,20,True,8.1141,2.035544,-2.504267,2.028056,-1.704704,3.08017,double_block,6.7213,1.2072,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_direct_block_seed_1100070.yaml,1100070,medium,16,4,20,True,5.8102,0.384997,-4.049397,0.674775,4.06091,-1.171926,direct_block,4.6682,1.2446,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000154.yaml,154,medium,6,4,10,False,5.1063,2.524334,-0.118204,2.422398,-2.542377,0.074345,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_medium_direct_block_seed_000214.yaml,214,medium,4,4,8,True,6.9667,3.472924,-0.772728,2.603766,-2.111975,2.229167,direct_block,6.3405,1.0987,,v3,train,general_replay,0.15,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100056.yaml,1100056,hard,18,4,22,True,8.801,1.244812,0.52954,2.520492,-2.900141,3.472538,double_block,5.0835,1.7313,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300244.yaml,300244,medium,7,4,11,True,6.4639,3.949575,-0.22169,-2.234925,0.853225,-4.176404,double_block,5.0227,1.287,2,v4_focused,train,3,focused_failure,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100024.yaml,1100024,easy,14,4,18,True,6.009,1.222073,-1.305653,-2.540012,-3.05618,-3.900051,double_block,5.0034,1.201,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_direct_block_seed_1100106.yaml,1100106,medium,18,4,22,True,7.1347,2.661041,0.662249,2.842931,-3.132472,3.230163,direct_block,6.3371,1.1259,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300085.yaml,300085,medium,7,4,11,True,7.6261,3.106055,-0.482938,2.976326,-2.355746,0.865207,double_block,5.6257,1.3556,2,v4_focused,train,2,focused_failure,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000094.yaml,94,medium,6,4,10,True,5.0708,3.93266,-0.621534,-3.013397,2.906024,4.002229,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000174.yaml,174,easy,2,4,6,False,6.3508,1.718609,1.438591,-2.411015,-4.206655,2.428574,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000051.yaml,51,easy,2,4,6,True,6.898,0.454918,-2.209108,-1.534117,4.294414,2.893611,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100052.yaml,1100052,medium,16,4,20,True,6.0445,-1.956427,-3.58456,0.680516,1.876439,-0.828165,double_block,4.7211,1.2803,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100050.yaml,1100050,hard,18,4,22,True,5.8571,3.253545,1.668548,3.134954,-1.37159,1.512078,direct_block,4.6278,1.2656,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000261.yaml,261,easy,3,4,7,False,5.4878,-4.086538,3.916812,-1.487602,0.400889,1.633547,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100047.yaml,1100047,hard,19,4,23,False,6.5586,-2.383071,3.944513,-0.631642,2.860369,0.714317,clear,6.1586,1.065,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100182.yaml,1100182,hard,20,4,24,True,5.9839,-1.691609,0.123869,-0.543162,2.467713,-2.378428,direct_block,4.854,1.2328,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_clear_seed_300091.yaml,300091,medium,9,4,13,False,8.2296,4.227869,-1.726539,2.858278,-3.383402,-0.168644,clear,7.7691,1.0593,0,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100209.yaml,1100209,hard,19,4,23,True,15.45,-2.174875,-2.266591,1.47628,-1.956312,3.182654,double_block,5.4536,2.833,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100131.yaml,1100131,hard,19,4,23,False,8.6765,4.089139,-2.267424,2.958015,-3.977084,-0.845243,clear,8.1906,1.0593,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_direct_block_seed_1100162.yaml,1100162,easy,15,4,19,True,7.9929,0.189884,0.636217,-1.092423,2.568584,-3.819369,direct_block,5.0508,1.5825,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100158.yaml,1100158,hard,19,4,23,True,6.3622,2.620647,-2.568192,3.138925,-2.735973,-2.593791,direct_block,5.3567,1.1877,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100232.yaml,1100232,medium,16,4,20,True,11.0045,-3.114633,3.876917,-0.906093,1.19953,-3.115432,double_block,8.2161,1.3394,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100134.yaml,1100134,hard,18,4,22,True,6.3565,3.817692,-0.099883,2.44975,-0.63965,2.686171,direct_block,5.2564,1.2093,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100012.yaml,1100012,easy,15,4,19,True,7.8798,3.994354,3.593883,-2.056985,0.484664,-2.528016,double_block,7.0566,1.1167,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100121.yaml,1100121,medium,17,4,21,True,9.0055,0.998225,3.462783,-1.917987,-0.369679,-2.519059,double_block,6.1363,1.4676,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_clear_seed_1100123.yaml,1100123,easy,16,4,20,False,5.7633,-1.490129,-1.126484,0.29432,3.691607,0.205697,clear,5.3502,1.0772,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100053.yaml,1100053,hard,19,4,23,True,11.138,1.356285,-2.961186,1.185782,3.779818,1.325018,double_block,4.9239,2.262,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100065.yaml,1100065,hard,19,4,23,True,9.0022,-1.655057,-2.108581,0.862356,1.202386,2.345096,double_block,5.2915,1.7012,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_direct_block_seed_300338.yaml,300338,hard,12,4,16,True,6.4308,1.378325,-1.277649,2.009917,-0.30268,3.657343,direct_block,5.2134,1.2335,1,v4_focused,train,8,focused_failure,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000092.yaml,92,hard,11,4,15,True,7.7416,3.282973,2.281276,-2.143224,-3.528138,0.197222,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100177.yaml,1100177,easy,16,4,20,True,8.6467,0.923514,-3.999632,2.208791,-2.916956,2.451671,double_block,7.5079,1.1517,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000000.yaml,0,easy,3,4,7,False,3.6672,2.469048,-1.711179,2.564249,-0.203606,0.725424,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300248.yaml,300248,hard,11,4,15,True,6.1108,2.880507,-4.179953,1.499698,3.805678,0.517273,double_block,4.7875,1.2764,2,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100009.yaml,1100009,easy,15,4,19,True,7.3804,0.378626,-2.97169,1.892001,-1.089981,3.155839,double_block,6.3011,1.1713,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_double_block_seed_300021.yaml,300021,easy,3,4,7,True,6.0147,-2.358139,2.013838,-1.401202,-1.920463,-3.095607,double_block,5.1282,1.1729,2,v4,train,0,0.45,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_direct_block_seed_300302.yaml,300302,hard,14,4,18,True,6.4171,-0.725517,-1.175308,0.543925,3.625572,1.066701,direct_block,4.8948,1.311,1,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100128.yaml,1100128,hard,18,4,22,True,7.9565,-2.805505,1.75675,0.198972,2.764036,3.670022,double_block,5.889,1.3511,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000183.yaml,183,easy,2,4,6,True,5.5371,3.069425,-1.240578,-2.589718,2.539161,3.809524,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000170.yaml,170,hard,10,4,14,False,3.2057,0.753217,-1.612997,-2.377469,-2.242617,-2.040745,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100168.yaml,1100168,easy,14,4,18,True,9.9233,-3.473314,-2.545004,0.521992,2.821684,1.888436,double_block,7.6995,1.2888,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100093.yaml,1100093,easy,16,4,20,True,6.4502,-0.374764,-1.106469,2.020546,-3.137781,3.342058,double_block,5.2368,1.2317,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100117.yaml,1100117,easy,16,4,20,True,7.2639,-2.754421,1.601604,-1.025927,-0.094273,-3.444643,double_block,5.7045,1.2734,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100141.yaml,1100141,easy,16,4,20,True,7.2616,3.027588,-1.064694,2.522617,-2.224104,1.700709,double_block,5.9353,1.2235,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000026.yaml,26,hard,6,4,10,True,5.1953,3.457224,1.355642,-2.967715,-0.574108,0.374122,direct_block,4.1491,1.2521,,v3,train,general_replay,0.15,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000296.yaml,296,hard,4,4,8,True,5.1645,3.778726,-2.094839,-2.641965,0.013404,-3.857746,direct_block,4.1576,1.2422,,v3,train,0,0.15,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100069.yaml,1100069,easy,14,4,18,True,9.4547,1.423842,-3.321196,2.141134,-3.211922,2.753277,double_block,7.6413,1.2373,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100048.yaml,1100048,easy,16,4,20,True,6.2296,-0.763653,2.285108,-0.763541,3.256406,-0.854955,double_block,5.1011,1.2212,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000125.yaml,125,hard,9,4,13,True,6.4171,0.935321,1.000254,-2.169131,-4.312935,1.816216,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100086.yaml,1100086,hard,19,4,23,True,7.3472,2.752505,0.500749,-2.667777,-1.324021,-1.51849,direct_block,4.5492,1.6151,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100236.yaml,1100236,hard,20,4,24,True,11.5963,3.918122,-2.670243,-3.123993,-4.207424,-3.866912,double_block,8.2132,1.4119,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000002.yaml,2,hard,8,4,12,True,8.2467,-1.2088,-2.878973,-1.560848,2.68797,3.078359,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_easy_clear_seed_000171.yaml,171,easy,2,4,6,False,8.1918,4.10332,-3.247249,2.102239,0.764322,3.534267,clear,7.559,1.0837,,v3,train,0,0.15,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100157.yaml,1100157,medium,18,4,22,True,8.2523,2.959702,3.124646,-2.068268,-0.992599,-2.980652,double_block,7.2729,1.1347,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000112.yaml,112,medium,8,4,12,False,3.4571,1.422933,-1.196323,0.599417,0.228713,-4.113796,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_clear_seed_1100199.yaml,1100199,medium,16,4,20,False,5.0708,4.106457,-4.1121,3.011476,-0.557888,-3.117411,clear,4.7692,1.0632,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_direct_block_seed_1100030.yaml,1100030,easy,16,4,20,True,6.3872,3.237379,-3.080453,1.589269,3.435708,1.570173,direct_block,4.6549,1.3722,1,,,,,dense_v10
